USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    11:37   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [netns]
root           8  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [kworker/0:0H-kblockd]
root          10  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        I    11:37   0:00  \_ [rcu_tasks_kthread]
root          12  0.0  0.0      0     0 ?        I    11:37   0:00  \_ [rcu_tasks_rude_kthread]
root          13  0.0  0.0      0     0 ?        I    11:37   0:00  \_ [rcu_tasks_trace_kthread]
root          14  0.0  0.0      0     0 ?        S    11:37   0:01  \_ [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    11:37   0:02  \_ [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [migration/0]
root          18  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [kdevtmpfs]
root          21  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [inet_frag_wq]
root          22  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [kauditd]
root          24  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [khungtaskd]
root          25  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [oom_reaper]
root          28  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [writeback]
root          29  0.0  0.0      0     0 ?        S    11:37   0:03  \_ [kcompactd0]
root          30  0.0  0.0      0     0 ?        SN   11:37   0:00  \_ [ksmd]
root          31  0.0  0.0      0     0 ?        SN   11:37   0:00  \_ [khugepaged]
root          32  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [kintegrityd]
root          33  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [kblockd]
root          34  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [blkcg_punt_bio]
root          35  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [tpm_dev_wq]
root          36  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [edac-poller]
root          37  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [devfreq_wq]
root          39  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [kswapd0]
root          45  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [kthrotld]
root          47  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/24-pciehp]
root          48  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/25-pciehp]
root          49  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/26-pciehp]
root          50  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/27-pciehp]
root          51  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/28-pciehp]
root          52  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/29-pciehp]
root          53  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/30-pciehp]
root          54  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/31-pciehp]
root          55  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/32-pciehp]
root          56  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/33-pciehp]
root          57  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/34-pciehp]
root          58  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/35-pciehp]
root          59  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/36-pciehp]
root          60  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/37-pciehp]
root          61  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/38-pciehp]
root          62  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/39-pciehp]
root          63  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/40-pciehp]
root          64  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/41-pciehp]
root          65  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/42-pciehp]
root          66  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/43-pciehp]
root          67  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/44-pciehp]
root          68  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/45-pciehp]
root          69  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/46-pciehp]
root          70  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/47-pciehp]
root          71  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/48-pciehp]
root          72  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/49-pciehp]
root          73  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/50-pciehp]
root          74  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/51-pciehp]
root          75  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/52-pciehp]
root          76  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/53-pciehp]
root          77  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/54-pciehp]
root          78  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [irq/55-pciehp]
root          79  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [acpi_thermal_pm]
root          81  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [mld]
root          82  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [ipv6_addrconf]
root          87  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [kstrp]
root          92  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [zswap-shrink]
root          93  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [kworker/u257:0]
root         157  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [mpt_poll_0]
root         158  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [mpt/0]
root         159  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [ata_sff]
root         160  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_0]
root         161  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_0]
root         162  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_1]
root         163  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_1]
root         165  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_2]
root         166  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_2]
root         167  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_3]
root         168  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_3]
root         169  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_4]
root         170  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_4]
root         171  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_5]
root         172  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_5]
root         173  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_6]
root         174  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_6]
root         175  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_7]
root         176  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_7]
root         177  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_8]
root         178  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_8]
root         179  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_9]
root         180  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_9]
root         181  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_10]
root         182  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_10]
root         183  0.0  0.0      0     0 ?        S    11:37   0:00  \_ [scsi_eh_11]
root         184  0.0  0.0      0     0 ?        I<   11:37   0:00  \_ [scsi_tmf_11]
